Meas Num,Data Quality,Item,Series,Time Stamp,Date,Time (s),Measurement ID,Image,Bubble Detection,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Peak Num,Peak Radius (nm) (I),Peak Diameter (nm) (I),Peak Diffusion Coefficient (cm²/s) (I),Peak Mw-R (kDa) (I),Peak %Pd (I),Peak Pd (nm) (I),Peak Pd Index (I),Peak %Intensity (I),Peak %Mass (I),Peak %Number (I),Peak Particle Concentration (1/mL) (I),
4,,A4 ,,15:18:04,2026-03-20,225,4,View,--,937186,9.37187e+08,5,5,0,100,9.96147,24.2762,99.5,20,25,0,A4,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,4,2026-Mar-20 15:12:34,180.688,0.352548,1.33572e-08,361.376,103.136,57.0796,0.570796,642600,1.02981,212.392,--,1.68244e-08,672.929,64.0227,224.404,312.641,1.1079,0.000536949,6,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.902199,Aqueous,3,277.83,555.66,8.68687e-09,1.75847e+06,15.8441,44.0196,0.158441,60.8124,46.7699,0.00188104,--,
5,,A5 ,,15:19:11,2026-03-20,292,5,View,--,784862,2.09296e+07,5,5,0,100,9.96147,24.6805,95,75,25,0,A5,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,5,2026-Mar-20 15:12:34,3.78572,0.360448,6.44395e-07,7.57145,2.16088,57.0796,0.570796,75.8458,1.06193,1704.83,--,0.00100031,32464.4,3.00644,3.89395,5417.17,1390.4,0.00186953,4,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.893788,Aqueous,1,3.72823,7.45647,6.54331e-07,73.1782,14.0565,0.524061,0.140565,70.1926,94.5139,100,--,
5,,A5 ,,15:19:11,2026-03-20,292,5,View,--,784862,2.09296e+07,5,5,0,100,9.96147,24.6805,95,75,25,0,A5,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,5,2026-Mar-20 15:12:34,3.78572,0.360448,6.44395e-07,7.57145,2.16088,57.0796,0.570796,75.8458,1.06193,1704.83,--,0.00100031,32464.4,3.00644,3.89395,5417.17,1390.4,0.00186953,4,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.893788,Aqueous,2,52.7325,105.465,4.62618e-08,36016.2,3.60153,1.89918,0.0360153,1.43715,0.00158411,4.46606e-07,--,
5,,A5 ,,15:19:11,2026-03-20,292,5,View,--,784862,2.09296e+07,5,5,0,100,9.96147,24.6805,95,75,25,0,A5,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,5,2026-Mar-20 15:12:34,3.78572,0.360448,6.44395e-07,7.57145,2.16088,57.0796,0.570796,75.8458,1.06193,1704.83,--,0.00100031,32464.4,3.00644,3.89395,5417.17,1390.4,0.00186953,4,3,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.893788,Aqueous,3,5414.75,10829.5,4.50529e-10,1.83234e+09,11.4796,621.594,0.114796,28.3702,5.4845,1.45897e-09,--,
6,,A6 ,,15:20:25,2026-03-20,366,6,View,--,1.30182e+06,2.97627e+07,5,5,0,100,9.96147,24.927,70.84,15,25,0,A6,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,6,2026-Mar-20 15:12:34,6.73088,0.406546,3.648e-07,13.4618,2.27342,33.7759,0.337759,291.542,1.02386,31.2951,--,12487.4,10224.8,4.87897,5.24953,5.57956,0.133459,0.000466983,4,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.888725,Aqueous,1,5.44417,10.8883,4.5102e-07,177.464,4.43829,0.241628,0.0443829,97.429,99.8669,100,--,
6,,A6 ,,15:20:25,2026-03-20,366,6,View,--,1.30182e+06,2.97627e+07,5,5,0,100,9.96147,24.927,70.84,15,25,0,A6,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,6,2026-Mar-20 15:12:34,6.73088,0.406546,3.648e-07,13.4618,2.27342,33.7759,0.337759,291.542,1.02386,31.2951,--,12487.4,10224.8,4.87897,5.24953,5.57956,0.133459,0.000466983,4,2,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.888725,Aqueous,2,517.722,1035.44,4.74275e-09,7.54436e+06,4.0022,20.7203,0.040022,2.57101,0.133082,1.571e-07,--,
7,,A7 ,,15:21:31,2026-03-20,432,7,View,--,998907,5.31333e+06,5,5,0,100,9.96147,25.1074,81.2,100,25,0,A7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,7,2026-Mar-20 15:12:34,137.292,0.184021,1.79698e-08,274.585,78.366,57.0796,0.570796,337943,1.17262,2326.98,--,1.91729e-05,905.31,0.681415,67.1588,544.169,8.09258,0.000741206,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885052,Aqueous,1,0.835625,1.67125,2.95242e-06,2.21157,26.4396,0.220935,0.264396,31.6704,99.9339,100,--,
7,,A7 ,,15:21:31,2026-03-20,432,7,View,--,998907,5.31333e+06,5,5,0,100,9.96147,25.1074,81.2,100,25,0,A7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,7,2026-Mar-20 15:12:34,137.292,0.184021,1.79698e-08,274.585,78.366,57.0796,0.570796,337943,1.17262,2326.98,--,1.91729e-05,905.31,0.681415,67.1588,544.169,8.09258,0.000741206,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885052,Aqueous,2,6.07144,12.1429,4.06347e-07,229.047,11.2673,0.684086,0.112673,8.43765,0.0471409,4.5596e-05,--,
7,,A7 ,,15:21:31,2026-03-20,432,7,View,--,998907,5.31333e+06,5,5,0,100,9.96147,25.1074,81.2,100,25,0,A7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,7,2026-Mar-20 15:12:34,137.292,0.184021,1.79698e-08,274.585,78.366,57.0796,0.570796,337943,1.17262,2326.98,--,1.91729e-05,905.31,0.681415,67.1588,544.169,8.09258,0.000741206,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885052,Aqueous,3,67.0032,134.006,3.68208e-08,63077.9,11.4936,7.70106,0.114936,15.2475,0.000320071,1.99713e-10,--,
7,,A7 ,,15:21:31,2026-03-20,432,7,View,--,998907,5.31333e+06,5,5,0,100,9.96147,25.1074,81.2,100,25,0,A7,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,7,2026-Mar-20 15:12:34,137.292,0.184021,1.79698e-08,274.585,78.366,57.0796,0.570796,337943,1.17262,2326.98,--,1.91729e-05,905.31,0.681415,67.1588,544.169,8.09258,0.000741206,6,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885052,Aqueous,4,500.002,1000,4.93421e-09,6.95396e+06,16.391,81.9553,0.16391,44.6445,0.0186477,3.06387e-11,--,
8,,A8 ,,15:23:34,2026-03-20,555,8,View,--,930498,5.12366e+06,5,5,0,100,9.96147,25.1335,56.76,42,25,0,A8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,8,2026-Mar-20 15:12:34,14.1638,0.173789,1.74304e-07,28.3275,8.08462,57.0796,0.570796,1662.29,1.1701,2258.55,--,0.00127243,8781.39,0.642968,68.485,521.724,7.60868,0.00103818,5,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.884522,Aqueous,1,0.69952,1.39904,3.52929e-06,1.45895,6.68516,0.046764,0.0668516,34.3885,99.7169,99.998,--,
8,,A8 ,,15:23:34,2026-03-20,555,8,View,--,930498,5.12366e+06,5,5,0,100,9.96147,25.1335,56.76,42,25,0,A8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,8,2026-Mar-20 15:12:34,14.1638,0.173789,1.74304e-07,28.3275,8.08462,57.0796,0.570796,1662.29,1.1701,2258.55,--,0.00127243,8781.39,0.642968,68.485,521.724,7.60868,0.00103818,5,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.884522,Aqueous,2,3.56495,7.1299,6.92522e-07,65.8982,3.93291,0.140206,0.0393291,12.7317,0.274904,0.00198642,--,
8,,A8 ,,15:23:34,2026-03-20,555,8,View,--,930498,5.12366e+06,5,5,0,100,9.96147,25.1335,56.76,42,25,0,A8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,8,2026-Mar-20 15:12:34,14.1638,0.173789,1.74304e-07,28.3275,8.08462,57.0796,0.570796,1662.29,1.1701,2258.55,--,0.00127243,8781.39,0.642968,68.485,521.724,7.60868,0.00103818,5,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.884522,Aqueous,3,75.0096,150.019,3.29132e-08,82144.3,3.73028,2.79807,0.0373028,24.6231,0.000481984,3.65108e-10,--,
8,,A8 ,,15:23:34,2026-03-20,555,8,View,--,930498,5.12366e+06,5,5,0,100,9.96147,25.1335,56.76,42,25,0,A8,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,8,2026-Mar-20 15:12:34,14.1638,0.173789,1.74304e-07,28.3275,8.08462,57.0796,0.570796,1662.29,1.1701,2258.55,--,0.00127243,8781.39,0.642968,68.485,521.724,7.60868,0.00103818,5,4,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.884522,Aqueous,4,530.878,1061.76,4.65042e-09,8.00057e+06,3.42519,18.1836,0.0342519,28.2566,0.00774635,1.74329e-11,--,
9,,A9 ,,15:25:21,2026-03-20,662,9,View,--,1.60966e+06,5.44171e+06,5,5,0,100,9.96147,25.0705,65.2,85,25,0,A9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,9,2026-Mar-20 15:12:34,5.722,0.156436,4.30745e-07,11.444,3.2661,57.0796,0.570796,199.383,1.10849,3361.52,--,0.000937314,21700.8,0.61265,12.1236,536.117,44.1703,0.000408166,8,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885801,Aqueous,1,0.773901,1.5478,3.1848e-06,1.8481,23.1305,0.179007,0.231305,39.3537,99.877,99.9997,--,
9,,A9 ,,15:25:21,2026-03-20,662,9,View,--,1.60966e+06,5.44171e+06,5,5,0,100,9.96147,25.0705,65.2,85,25,0,A9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,9,2026-Mar-20 15:12:34,5.722,0.156436,4.30745e-07,11.444,3.2661,57.0796,0.570796,199.383,1.10849,3361.52,--,0.000937314,21700.8,0.61265,12.1236,536.117,44.1703,0.000408166,8,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885801,Aqueous,2,4.40408,8.80816,5.59645e-07,108.062,13.1761,0.580285,0.131761,9.52274,0.104717,0.00032807,--,
9,,A9 ,,15:25:21,2026-03-20,662,9,View,--,1.60966e+06,5.44171e+06,5,5,0,100,9.96147,25.0705,65.2,85,25,0,A9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,9,2026-Mar-20 15:12:34,5.722,0.156436,4.30745e-07,11.444,3.2661,57.0796,0.570796,199.383,1.10849,3361.52,--,0.000937314,21700.8,0.61265,12.1236,536.117,44.1703,0.000408166,8,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885801,Aqueous,3,13.8195,27.639,1.78351e-07,1569.28,9.14819,1.26423,0.0914819,5.52683,0.00196892,1.75936e-07,--,
9,,A9 ,,15:25:21,2026-03-20,662,9,View,--,1.60966e+06,5.44171e+06,5,5,0,100,9.96147,25.0705,65.2,85,25,0,A9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,9,2026-Mar-20 15:12:34,5.722,0.156436,4.30745e-07,11.444,3.2661,57.0796,0.570796,199.383,1.10849,3361.52,--,0.000937314,21700.8,0.61265,12.1236,536.117,44.1703,0.000408166,8,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885801,Aqueous,4,121.094,242.188,2.03538e-08,251923,8.84196,10.7071,0.0884196,28.9804,0.0108356,1.54899e-09,--,
9,,A9 ,,15:25:21,2026-03-20,662,9,View,--,1.60966e+06,5.44171e+06,5,5,0,100,9.96147,25.0705,65.2,85,25,0,A9,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,9,2026-Mar-20 15:12:34,5.722,0.156436,4.30745e-07,11.444,3.2661,57.0796,0.570796,199.383,1.10849,3361.52,--,0.000937314,21700.8,0.61265,12.1236,536.117,44.1703,0.000408166,8,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.885801,Aqueous,5,570.467,1140.93,4.32054e-09,9.46687e+06,6.78745,38.7201,0.0678745,16.6164,0.00548392,6.19857e-12,--,
10,,A10 ,,15:27:07,2026-03-20,768,10,View,--,837099,3.97483e+06,5,5,0,100,9.96147,25.0055,71.92,75,25,0,A10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,10,2026-Mar-20 15:12:34,4.16453,0.180392,5.90824e-07,8.32906,2.3771,57.0796,0.570796,94.8068,1.09555,4987.59,--,0.000229606,29765.5,0.626923,44.3907,1023.43,23.041,0.000457545,7,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887125,Aqueous,1,0.750651,1.5013,3.27783e-06,1.72079,18.6947,0.140332,0.186947,36.8614,99.8845,99.9997,--,
10,,A10 ,,15:27:07,2026-03-20,768,10,View,--,837099,3.97483e+06,5,5,0,100,9.96147,25.0055,71.92,75,25,0,A10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,10,2026-Mar-20 15:12:34,4.16453,0.180392,5.90824e-07,8.32906,2.3771,57.0796,0.570796,94.8068,1.09555,4987.59,--,0.000229606,29765.5,0.626923,44.3907,1023.43,23.041,0.000457545,7,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887125,Aqueous,2,4.74779,9.49557,5.18243e-07,128.835,8.0234,0.380934,0.080234,11.4962,0.103127,0.000257912,--,
10,,A10 ,,15:27:07,2026-03-20,768,10,View,--,837099,3.97483e+06,5,5,0,100,9.96147,25.0055,71.92,75,25,0,A10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,10,2026-Mar-20 15:12:34,4.16453,0.180392,5.90824e-07,8.32906,2.3771,57.0796,0.570796,94.8068,1.09555,4987.59,--,0.000229606,29765.5,0.626923,44.3907,1023.43,23.041,0.000457545,7,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887125,Aqueous,3,50.7774,101.555,4.84568e-08,32969,7.27458,3.69384,0.0727458,13.0288,0.000225086,4.38974e-10,--,
10,,A10 ,,15:27:07,2026-03-20,768,10,View,--,837099,3.97483e+06,5,5,0,100,9.96147,25.0055,71.92,75,25,0,A10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,10,2026-Mar-20 15:12:34,4.16453,0.180392,5.90824e-07,8.32906,2.3771,57.0796,0.570796,94.8068,1.09555,4987.59,--,0.000229606,29765.5,0.626923,44.3907,1023.43,23.041,0.000457545,7,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887125,Aqueous,4,248.518,497.035,9.90073e-09,1.35468e+06,9.01909,22.414,0.0901909,26.6031,0.00502485,7.37926e-11,--,
10,,A10 ,,15:27:07,2026-03-20,768,10,View,--,837099,3.97483e+06,5,5,0,100,9.96147,25.0055,71.92,75,25,0,A10,"949-WPR3, Z=9, Corner offsets=[120,45],[-30,-60],[100,100],[-90,45]",1,10,2026-Mar-20 15:12:34,4.16453,0.180392,5.90824e-07,8.32906,2.3771,57.0796,0.570796,94.8068,1.09555,4987.59,--,0.000229606,29765.5,0.626923,44.3907,1023.43,23.041,0.000457545,7,5,--,--,--,--,--,,Protein,Sphere,1.584,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.887125,Aqueous,5,1155.75,2311.5,2.12892e-09,4.93934e+07,7.58156,87.624,0.0758156,12.0105,0.00708435,1.16082e-12,--,
